apply,hostnum,hostnumsub,vmname,ip1,datastore,template,esxi,pg,subnet1,gw1,cpu,mem,ip2,real_ip2,subnet2,real_subnet2,gw2,real_gw2,secondpg,screens,logininfo,copy_from,copy_to,comment,totalComment
TRUE,12,2,sworm_oper_sjhgood_kyobo_00,172.31.11.10,datastore12_2,sworm_oper_sjhgood_kyobo_14,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,4,6,,,,,,,,4603,교보,,,,스웜 운영용
TRUE,12,2,sworm_oper_sjhgood_kyobo_01,172.31.11.11,datastore12_2,sworm_oper_sjhgood_kyobo_14,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,4,6,,,,,,,,4603,교보,,,,
TRUE,12,2,sworm_oper_sjhgood_kyobo_02,172.31.11.12,datastore12_2,sworm_oper_sjhgood_kyobo_14,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,4,6,,,,,,,,4603,교보,,,,
TRUE,12,2,sworm_oper_sjhgood_kyobo_03,172.31.11.13,datastore12_2,sworm_oper_sjhgood_kyobo_14,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,4,6,,,,,,,,4603,교보,,,,
TRUE,12,2,sworm_oper_sjhgood_kyobo_04,172.31.11.14,datastore12_2,sworm_oper_sjhgood_kyobo_14,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,4,6,,,,,,,,4603,교보,,,,
TRUE,12,2,sworm_oper_sjhgood_kyobo_05,172.31.11.15,datastore12_2,sworm_oper_sjhgood_kyobo_14,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,4,6,,,,,,,,4603,교보,,,,
TRUE,12,2,sworm_oper_sjhgood_kyobo_06,172.31.11.16,datastore12_2,sworm_oper_sjhgood_kyobo_14,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,4,6,,,,,,,,4603,교보,,,,
TRUE,12,2,sworm_oper_sjhgood_kyobo_07,172.31.11.17,datastore12_2,sworm_oper_sjhgood_kyobo_14,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,4,6,,,,,,,,4603,교보,,,,
TRUE,12,2,sworm_oper_sjhgood_kyobo_08,172.31.11.18,datastore12_2,sworm_oper_sjhgood_kyobo_14,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,4,6,,,,,,,,4603,교보,,,,
TRUE,12,2,sworm_oper_sjhgood_kyobo_09,172.31.11.19,datastore12_2,sworm_oper_sjhgood_kyobo_14,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,4,6,,,,,,,,4603,교보,,,,
TRUE,12,2,sworm_oper_sjhgood_kyobo_10,172.31.11.20,datastore12_2,sworm_oper_sjhgood_kyobo_14,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,4,6,,,,,,,,4603,교보,,,,
TRUE,12,2,sworm_oper_sjhgood_kyobo_11,172.31.11.21,datastore12_2,sworm_oper_sjhgood_kyobo_14,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,4,6,,,,,,,,4603,교보,,,,
TRUE,12,2,sworm_oper_sjhgood_kyobo_12,172.31.11.22,datastore12_2,sworm_oper_sjhgood_kyobo_14,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,4,6,,,,,,,,4603,교보,,,,
TRUE,12,2,sworm_oper_sjhgood_kyobo_13,172.31.11.23,datastore12_2,sworm_oper_sjhgood_kyobo_14,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,4,6,,,,,,,,4603,교보,,,,
