apply,hostnum,hostnumsub,vmname,ip1,datastore,template,esxi,pg,subnet1,gw1,cpu,mem,ip2,real_ip2,subnet2,real_subnet2,gw2,real_gw2,secondpg,screens,logininfo,copy_from,copy_to,comment,totalComment
FALSE,12,1,sworm_scenario1_SNC_00,172.31.0.10,datastore12_1,sworm_scenario1_SNC_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4604,교보,,,,
FALSE,12,1,sworm_scenario1_SNC_01,172.31.0.11,datastore12_1,sworm_scenario1_SNC_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
TRUE,12,1,sworm_scenario1_SNC_02,172.31.0.12,datastore12_1,sworm_scenario1_SNC_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
TRUE,12,1,sworm_scenario1_SNC_03,172.31.0.13,datastore12_1,sworm_scenario1_SNC_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
TRUE,12,1,sworm_scenario1_SNC_04,172.31.0.14,datastore12_1,sworm_scenario1_SNC_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
TRUE,12,1,sworm_scenario1_SNC_05,172.31.0.15,datastore12_1,sworm_scenario1_SNC_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
TRUE,12,1,sworm_scenario1_SNC_06,172.31.0.16,datastore12_1,sworm_scenario1_SNC_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
TRUE,12,1,sworm_scenario1_SNC_07,172.31.0.17,datastore12_1,sworm_scenario1_SNC_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
TRUE,12,1,sworm_scenario1_SNC_08,172.31.0.18,datastore12_1,sworm_scenario1_SNC_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
TRUE,12,1,sworm_scenario1_SNC_09,172.31.0.19,datastore12_1,sworm_scenario1_SNC_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
TRUE,12,1,sworm_scenario1_SNC_10,172.31.0.20,datastore12_1,sworm_scenario1_SNC_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
TRUE,12,1,sworm_scenario1_SNC_11,172.31.0.21,datastore12_1,sworm_scenario1_SNC_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
TRUE,12,1,sworm_scenario1_SNC_12,172.31.0.22,datastore12_1,sworm_scenario1_SNC_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
TRUE,12,1,sworm_scenario1_SNC_13,172.31.0.23,datastore12_1,sworm_scenario1_SNC_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
TRUE,12,1,sworm_scenario1_SNC_14,172.31.0.24,datastore12_1,sworm_scenario1_SNC_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
TRUE,12,1,sworm_scenario1_SNC_15,172.31.0.25,datastore12_1,sworm_scenario1_SNC_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
