apply,hostnum,hostnumsub,vmname,ip1,datastore,template,esxi,pg,subnet1,gw1,cpu,mem,ip2,real_ip2,subnet2,real_subnet2,gw2,real_gw2,secondpg,screens,logininfo,copy_from,copy_to,comment,totalComment
FALSE,12,2,sworm_scenario1_SNJ_00,172.31.0.40,datastore12_2,sworm_scenario1_SNJ_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4604,교보,,,,
FALSE,12,2,sworm_scenario1_SNJ_01,172.31.0.41,datastore12_2,sworm_scenario1_SNJ_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
TRUE,12,2,sworm_scenario1_SNJ_02,172.31.0.42,datastore12_2,sworm_scenario1_SNJ_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
TRUE,12,2,sworm_scenario1_SNJ_03,172.31.0.43,datastore12_2,sworm_scenario1_SNJ_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
TRUE,12,2,sworm_scenario1_SNJ_04,172.31.0.44,datastore12_2,sworm_scenario1_SNJ_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
TRUE,12,2,sworm_scenario1_SNJ_05,172.31.0.45,datastore12_2,sworm_scenario1_SNJ_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
TRUE,12,2,sworm_scenario1_SNJ_06,172.31.0.46,datastore12_2,sworm_scenario1_SNJ_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
TRUE,12,2,sworm_scenario1_SNJ_07,172.31.0.47,datastore12_2,sworm_scenario1_SNJ_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
TRUE,12,2,sworm_scenario1_SNJ_08,172.31.0.48,datastore12_2,sworm_scenario1_SNJ_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
TRUE,12,2,sworm_scenario1_SNJ_09,172.31.0.49,datastore12_2,sworm_scenario1_SNJ_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
TRUE,12,2,sworm_scenario1_SNJ_10,172.31.0.50,datastore12_2,sworm_scenario1_SNJ_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
TRUE,12,2,sworm_scenario1_SNJ_11,172.31.0.51,datastore12_2,sworm_scenario1_SNJ_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
TRUE,12,2,sworm_scenario1_SNJ_12,172.31.0.52,datastore12_2,sworm_scenario1_SNJ_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
TRUE,12,2,sworm_scenario1_SNJ_13,172.31.0.53,datastore12_2,sworm_scenario1_SNJ_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
TRUE,12,2,sworm_scenario1_SNJ_14,172.31.0.54,datastore12_2,sworm_scenario1_SNJ_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
TRUE,12,2,sworm_scenario1_SNJ_15,172.31.0.55,datastore12_2,sworm_scenario1_SNJ_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
TRUE,12,2,sworm_scenario1_SNJ_16,172.31.0.56,datastore12_2,sworm_scenario1_SNJ_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
TRUE,12,2,sworm_scenario1_SNJ_17,172.31.0.57,datastore12_2,sworm_scenario1_SNJ_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
TRUE,12,2,sworm_scenario1_SNJ_18,172.31.0.58,datastore12_2,sworm_scenario1_SNJ_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
TRUE,12,2,sworm_scenario1_SNJ_19,172.31.0.59,datastore12_2,sworm_scenario1_SNJ_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
TRUE,12,2,sworm_scenario1_SNJ_20,172.31.0.60,datastore12_2,sworm_scenario1_SNJ_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
TRUE,12,2,sworm_scenario1_SNJ_21,172.31.0.61,datastore12_2,sworm_scenario1_SNJ_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
TRUE,12,2,sworm_scenario1_SNJ_22,172.31.0.62,datastore12_2,sworm_scenario1_SNJ_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
TRUE,12,2,sworm_scenario1_SNJ_23,172.31.0.63,datastore12_2,sworm_scenario1_SNJ_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
TRUE,12,2,sworm_scenario1_SNJ_24,172.31.0.64,datastore12_2,sworm_scenario1_SNJ_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
TRUE,12,2,sworm_scenario1_SNJ_25,172.31.0.65,datastore12_2,sworm_scenario1_SNJ_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
TRUE,12,2,sworm_scenario1_SNJ_26,172.31.0.66,datastore12_2,sworm_scenario1_SNJ_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
TRUE,12,2,sworm_scenario1_SNJ_27,172.31.0.67,datastore12_2,sworm_scenario1_SNJ_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
TRUE,12,2,sworm_scenario1_SNJ_28,172.31.0.68,datastore12_2,sworm_scenario1_SNJ_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
TRUE,12,2,sworm_scenario1_SNJ_29,172.31.0.69,datastore12_2,sworm_scenario1_SNJ_01,192.168.10.112,VM Network_12,255.255.0.0,172.31.0.1,2,4,,,,,,,,4603,교보,,,,
